Method,CI_Lower,CI_Upper
bicor,0.628455882,0.746397059
cclasso,0.762426471,0.864338235
CMIMN,0.71095297,0.801670792
gcoda,0.486472403,0.72463329
pearson,0.540882353,0.745735294
sparcc,0.744485294,0.831691176
spearman,0.744117647,0.834632353
spiecEasi_glasso,0.777332317,0.869665641
spiecEasi_mb,0.628481888,0.722589286
SPRING,0.590198735,0.650356185
Result_gut_all_0,0.644330007,0.713824147
Result_gut_all_1,0.675673382,0.747986732
Result_gut_all_2,0.709780903,0.790292934
Result_gut_all_3,0.732290562,0.809444306
Result_gut_all_4,0.771561147,0.838022562
Result_gut_all_5,0.798985065,0.870468113
Result_gut_all_6,0.809645898,0.872910868
Result_gut_all_7,0.799778967,0.88011811
Result_gut_all_8,0.784192685,0.886591561
Result_gut_all_9,0.700656109,0.878193681
Result_gut_conditional_0,0.612726952,0.691546209
Result_gut_conditional_1,0.657135294,0.724728419
Result_gut_conditional_2,0.721553882,0.801189679
Result_gut_conditional_3,0.766963642,0.863559798
Result_gut_conditional_4,0.717307692,0.864873188
Result_gut_cor_0,0.67756881,0.761101606
Result_gut_cor_1,0.738340951,0.811346758
Result_gut_cor_2,0.799177455,0.869655626
Result_gut_cor_3,0.765484616,0.876607208
Result_gut_cor_4,0.792218137,0.885556773
