"number_edges_cminet","number_edges_phy","TP","F_score"
180,230,165,0.804878048780488
180,188,156,0.847826086956522
180,160,139,0.81764705882353
180,213,161,0.819338422391858
180,193,154,0.82573726541555
180,211,173,0.884910485933504
180,199,155,0.817941952506597
180,214,165,0.83756345177665
180,220,166,0.83
180,205,157,0.815584415584416
180,222,166,0.825870646766169
180,178,152,0.849162011173184
180,220,155,0.775
180,189,150,0.813008130081301
180,204,163,0.848958333333333
180,230,165,0.804878048780488
180,190,157,0.848648648648649
180,214,155,0.786802030456853
180,214,164,0.83248730964467
180,211,161,0.823529411764706
180,230,161,0.785365853658537
180,210,166,0.851282051282051
180,206,156,0.808290155440414
180,221,165,0.822942643391521
180,189,161,0.872628726287263
180,234,160,0.772946859903382
180,225,165,0.814814814814815
180,193,158,0.847184986595174
180,218,163,0.819095477386935
180,207,158,0.816537467700258
180,226,163,0.80295566502463
180,213,162,0.82442748091603
180,196,151,0.803191489361702
180,211,161,0.823529411764706
180,217,160,0.806045340050378
180,202,156,0.816753926701571
180,194,152,0.81283422459893
180,229,170,0.831295843520782
180,195,161,0.858666666666667
180,228,167,0.818627450980392
180,226,169,0.832512315270936
180,236,170,0.817307692307692
180,190,159,0.85945945945946
180,210,164,0.841025641025641
180,198,158,0.835978835978836
180,196,161,0.856382978723404
180,204,158,0.822916666666667
180,203,160,0.835509138381201
180,212,163,0.831632653061224
180,199,150,0.79155672823219
