"number_edges_cminet","number_edges_phy","TP","F_score"
313,310,237,0.76083467094703
313,314,249,0.794258373205742
313,291,236,0.781456953642384
313,318,252,0.798732171156894
313,302,225,0.731707317073171
313,314,251,0.800637958532695
313,287,228,0.76
313,334,257,0.794435857805255
313,316,229,0.728139904610493
313,297,240,0.786885245901639
313,303,245,0.795454545454545
313,324,241,0.756671899529042
313,323,241,0.757861635220126
313,325,251,0.786833855799373
313,299,229,0.748366013071895
313,314,252,0.803827751196172
313,303,229,0.743506493506493
313,314,241,0.768740031897927
313,299,242,0.790849673202614
313,305,239,0.773462783171521
313,300,241,0.786296900489396
313,313,232,0.741214057507987
313,317,246,0.780952380952381
313,301,249,0.811074918566775
313,315,246,0.78343949044586
313,307,235,0.758064516129032
313,309,236,0.758842443729904
313,329,250,0.778816199376947
313,302,241,0.783739837398374
313,313,232,0.741214057507987
313,299,232,0.758169934640523
313,331,251,0.779503105590062
313,337,251,0.772307692307692
313,299,249,0.813725490196078
313,329,248,0.772585669781931
313,317,248,0.787301587301587
313,308,228,0.734299516908213
313,311,243,0.778846153846154
313,323,245,0.770440251572327
313,304,243,0.787682333873582
313,297,242,0.79344262295082
313,324,255,0.800627943485086
313,325,243,0.761755485893417
313,338,253,0.77726574500768
313,298,231,0.756137479541735
313,310,236,0.757624398073836
313,309,234,0.752411575562701
313,302,239,0.777235772357724
313,311,237,0.759615384615385
313,332,250,0.775193798449613
