"number_edges_cminet","number_edges_phy","TP","F_score"
217,231,173,0.772321428571429
217,237,175,0.770925110132159
217,192,155,0.757946210268949
217,239,178,0.780701754385965
217,224,168,0.761904761904762
217,245,189,0.818181818181818
217,183,155,0.775
217,254,185,0.785562632696391
217,251,181,0.773504273504274
217,185,160,0.796019900497513
217,222,171,0.779043280182232
217,241,178,0.777292576419214
217,243,165,0.717391304347826
217,227,165,0.743243243243243
217,246,177,0.764578833693304
217,230,176,0.787472035794183
217,210,167,0.782201405152225
217,196,159,0.76997578692494
217,245,179,0.774891774891775
217,239,179,0.785087719298246
217,187,159,0.787128712871287
217,242,179,0.779956427015251
217,261,188,0.786610878661088
217,240,176,0.770240700218818
217,229,179,0.802690582959641
217,262,170,0.709812108559499
217,219,171,0.784403669724771
217,235,176,0.778761061946903
217,209,167,0.784037558685446
217,193,159,0.775609756097561
217,197,162,0.782608695652174
217,248,174,0.748387096774194
217,276,185,0.750507099391481
217,244,183,0.793926247288503
217,256,183,0.773784355179704
217,241,179,0.781659388646288
217,224,169,0.766439909297052
217,183,157,0.785
217,187,159,0.787128712871287
217,203,163,0.776190476190476
217,244,179,0.776572668112798
217,221,173,0.789954337899543
217,255,179,0.758474576271186
217,233,169,0.751111111111111
217,220,166,0.759725400457666
217,226,163,0.73589164785553
217,247,177,0.762931034482759
217,213,167,0.776744186046512
217,230,171,0.76510067114094
217,258,181,0.762105263157895
