"number_edges_cminet","number_edges_phy","TP","F_score"
202,196,159,0.798994974874372
202,209,173,0.841849148418491
202,191,162,0.82442748091603
202,207,175,0.855745721271394
202,171,152,0.815013404825737
202,202,176,0.871287128712871
202,183,161,0.836363636363636
202,204,170,0.83743842364532
202,189,163,0.833759590792839
202,180,161,0.842931937172775
202,205,169,0.83046683046683
202,197,167,0.837092731829574
202,191,157,0.798982188295165
202,201,166,0.823821339950372
202,206,177,0.86764705882353
202,210,172,0.83495145631068
202,191,164,0.834605597964377
202,200,167,0.830845771144279
202,189,158,0.808184143222506
202,203,169,0.834567901234568
202,191,162,0.82442748091603
202,204,169,0.832512315270936
202,204,175,0.862068965517241
202,194,165,0.833333333333333
202,201,173,0.858560794044665
202,204,157,0.773399014778325
202,194,164,0.828282828282828
202,194,169,0.853535353535354
202,199,167,0.832917705735661
202,189,158,0.808184143222506
202,186,164,0.845360824742268
202,210,169,0.820388349514563
202,222,174,0.820754716981132
202,191,173,0.880407124681934
202,208,169,0.824390243902439
202,206,175,0.857843137254902
202,190,163,0.831632653061224
202,183,157,0.815584415584415
202,190,161,0.821428571428571
202,202,170,0.841584158415842
202,173,156,0.832
202,196,169,0.849246231155779
202,219,178,0.845605700712589
202,195,160,0.806045340050378
202,204,167,0.822660098522167
202,200,167,0.830845771144279
202,211,176,0.852300242130751
202,199,169,0.8428927680798
202,202,167,0.826732673267327
202,219,174,0.826603325415677
