"number_edges_cminet","number_edges_phy","TP","F_score"
91,64,55,0.709677419354839
91,89,76,0.844444444444445
91,66,59,0.751592356687898
91,88,74,0.8268156424581
91,85,73,0.829545454545455
91,99,79,0.831578947368421
91,83,69,0.793103448275862
91,93,77,0.83695652173913
91,92,75,0.819672131147541
91,84,70,0.8
91,85,67,0.761363636363636
91,91,73,0.802197802197802
91,88,74,0.8268156424581
91,71,62,0.765432098765432
91,101,81,0.84375
91,76,66,0.790419161676647
91,65,58,0.743589743589744
91,84,73,0.834285714285714
91,88,72,0.804469273743017
91,98,73,0.772486772486773
91,87,73,0.820224719101124
91,87,74,0.831460674157303
91,90,72,0.795580110497237
91,73,63,0.768292682926829
91,89,78,0.866666666666667
91,104,81,0.830769230769231
91,90,72,0.795580110497237
91,84,75,0.857142857142857
91,73,62,0.75609756097561
91,78,70,0.828402366863905
91,81,68,0.790697674418605
91,92,75,0.819672131147541
91,104,81,0.830769230769231
91,86,72,0.813559322033898
91,93,79,0.858695652173913
91,93,78,0.847826086956522
91,89,75,0.833333333333333
91,88,74,0.8268156424581
91,85,73,0.829545454545455
91,87,72,0.808988764044944
91,90,69,0.762430939226519
91,78,65,0.769230769230769
91,97,82,0.872340425531915
91,93,77,0.83695652173913
91,68,56,0.70440251572327
91,79,68,0.8
91,106,75,0.761421319796954
91,77,64,0.761904761904762
91,98,78,0.825396825396825
91,85,74,0.840909090909091
