"number_edges_cminet","number_edges_phy","TP","F_score"
255,251,222,0.877470355731225
255,239,215,0.870445344129555
255,241,215,0.866935483870968
255,246,217,0.86626746506986
255,242,215,0.865191146881288
255,240,214,0.864646464646465
255,257,221,0.86328125
255,236,211,0.859470468431772
255,248,216,0.858846918489066
255,239,212,0.8582995951417
255,258,220,0.857699805068226
255,248,214,0.85089463220676
255,259,218,0.848249027237354
255,248,213,0.846918489065606
255,249,213,0.845238095238095
255,245,211,0.844
255,248,212,0.842942345924453
255,244,210,0.841683366733467
255,261,217,0.84108527131783
255,235,206,0.840816326530612
255,240,208,0.84040404040404
255,255,214,0.83921568627451
255,259,215,0.836575875486381
255,264,217,0.836223506743738
255,259,214,0.832684824902724
255,240,206,0.832323232323232
255,245,208,0.832
255,267,217,0.831417624521073
255,246,208,0.830339321357286
255,233,202,0.827868852459016
255,250,209,0.827722772277228
255,238,204,0.827586206896552
255,251,209,0.826086956521739
255,237,203,0.82520325203252
255,242,205,0.824949698189135
255,243,205,0.823293172690763
255,249,207,0.821428571428572
255,237,202,0.821138211382114
255,230,199,0.820618556701031
255,226,197,0.819126819126819
255,220,194,0.816842105263158
255,256,208,0.814090019569472
255,230,197,0.812371134020619
255,240,200,0.808080808080808
255,250,204,0.807920792079208
255,241,200,0.806451612903226
255,222,191,0.80083857442348
255,243,199,0.799196787148594
255,228,193,0.799171842650103
255,237,194,0.788617886178862
