"number_edges_cminet","number_edges_phy","TP","F_score"
246,246,207,0.841463414634146
246,246,177,0.719512195121951
246,246,204,0.829268292682927
246,246,190,0.772357723577236
246,246,208,0.845528455284553
246,246,207,0.841463414634146
246,246,197,0.800813008130081
246,246,195,0.792682926829268
246,246,205,0.833333333333333
246,246,192,0.780487804878049
246,246,191,0.776422764227642
246,246,204,0.829268292682927
246,246,194,0.788617886178862
246,246,210,0.853658536585366
246,246,208,0.845528455284553
246,246,197,0.800813008130081
246,246,209,0.849593495934959
246,246,211,0.857723577235772
246,246,209,0.849593495934959
246,246,201,0.817073170731707
246,246,205,0.833333333333333
246,246,187,0.760162601626016
246,246,212,0.861788617886179
246,246,202,0.821138211382114
246,246,208,0.845528455284553
246,246,199,0.808943089430894
246,246,210,0.853658536585366
246,246,191,0.776422764227642
246,246,200,0.813008130081301
246,246,188,0.764227642276423
246,246,204,0.829268292682927
246,246,203,0.82520325203252
246,246,194,0.788617886178862
246,246,195,0.792682926829268
246,246,218,0.886178861788618
246,246,182,0.739837398373984
246,246,200,0.813008130081301
246,246,204,0.829268292682927
246,246,190,0.772357723577236
246,246,198,0.804878048780488
246,246,207,0.841463414634146
246,246,199,0.808943089430894
246,246,205,0.833333333333333
246,246,215,0.873983739837398
246,246,202,0.821138211382114
246,246,209,0.849593495934959
246,246,203,0.82520325203252
246,246,196,0.796747967479675
246,246,198,0.804878048780488
246,246,212,0.861788617886179
