"number_edges_cminet","number_edges_phy","TP","F_score"
808,500,411,0.628440366972477
808,577,438,0.632490974729242
808,565,458,0.667152221412964
808,693,536,0.71419053964024
808,809,590,0.729746444032158
808,776,562,0.70959595959596
808,716,559,0.733595800524934
808,491,417,0.64203233256351
808,606,451,0.637906647807638
808,774,553,0.699115044247788
808,841,567,0.687689508793208
808,825,575,0.704225352112676
808,733,522,0.677482154445166
808,566,457,0.665211062590975
808,577,477,0.688808664259928
808,775,551,0.696146557169931
808,810,547,0.676143386897404
808,798,580,0.722291407222914
808,778,559,0.704918032786885
808,790,556,0.695869837296621
808,792,563,0.70375
808,555,445,0.652971386647102
808,806,554,0.686493184634449
808,811,582,0.718962322421248
808,893,583,0.685479129923574
808,755,550,0.703774792066539
808,498,414,0.633996937212864
808,534,432,0.64381520119225
808,794,567,0.707865168539326
808,554,440,0.646108663729809
808,520,419,0.631024096385542
808,840,561,0.680825242718447
808,849,565,0.68195534097767
808,812,572,0.706172839506173
808,797,586,0.730218068535826
808,615,490,0.688685874912157
808,807,588,0.728173374613003
808,525,427,0.64066016504126
808,794,546,0.681647940074906
808,598,485,0.689900426742532
808,764,561,0.713740458015267
808,555,442,0.648569332355099
808,762,578,0.736305732484076
808,557,454,0.665201465201465
808,817,577,0.710153846153846
808,533,431,0.642803877703207
808,753,549,0.703395259449071
808,854,576,0.693140794223827
808,776,592,0.747474747474748
808,825,590,0.722596448254746
