"number_edges_cminet","number_edges_phy","TP","F_score"
36,31,26,0.776119402985075
36,41,30,0.779220779220779
36,33,22,0.63768115942029
36,32,29,0.852941176470588
36,30,27,0.818181818181818
36,34,27,0.771428571428571
36,32,30,0.88235294117647
36,31,25,0.746268656716418
36,36,25,0.694444444444444
36,39,28,0.746666666666667
36,30,22,0.666666666666667
36,32,25,0.735294117647059
36,34,27,0.771428571428571
36,34,25,0.714285714285714
36,31,25,0.746268656716418
36,34,24,0.685714285714286
36,34,28,0.8
36,33,26,0.753623188405797
36,39,30,0.8
36,32,26,0.764705882352941
36,35,26,0.732394366197183
36,30,23,0.696969696969697
36,30,26,0.787878787878788
36,31,25,0.746268656716418
36,29,24,0.738461538461539
36,31,25,0.746268656716418
36,37,27,0.73972602739726
36,30,25,0.757575757575758
36,32,26,0.764705882352941
36,27,22,0.698412698412698
36,31,28,0.835820895522388
36,30,21,0.636363636363636
36,35,28,0.788732394366197
36,28,22,0.6875
36,33,30,0.869565217391304
36,34,29,0.828571428571429
36,31,26,0.776119402985075
36,35,28,0.788732394366197
36,35,27,0.76056338028169
36,26,24,0.774193548387097
36,31,24,0.716417910447761
36,35,26,0.732394366197183
36,31,24,0.716417910447761
36,37,29,0.794520547945206
36,36,26,0.722222222222222
36,33,26,0.753623188405797
36,36,29,0.805555555555556
36,29,27,0.830769230769231
36,35,30,0.845070422535211
36,37,28,0.767123287671233
