"number_edges_cminet","number_edges_phy","TP","F_score"
154,139,118,0.805460750853242
154,137,103,0.707903780068728
154,128,104,0.73758865248227
154,163,118,0.744479495268139
154,151,115,0.754098360655738
154,150,111,0.730263157894737
154,148,111,0.735099337748344
154,128,106,0.75177304964539
154,189,115,0.670553935860058
154,152,109,0.712418300653595
154,140,103,0.700680272108844
154,139,108,0.737201365187713
154,163,113,0.712933753943218
154,142,105,0.709459459459459
154,132,105,0.734265734265734
154,143,108,0.727272727272727
154,147,111,0.737541528239203
154,155,118,0.763754045307443
154,162,120,0.759493670886076
154,136,109,0.751724137931035
154,151,119,0.780327868852459
154,130,104,0.732394366197183
154,148,108,0.71523178807947
154,149,112,0.739273927392739
154,145,110,0.735785953177258
154,149,116,0.765676567656766
154,152,114,0.745098039215686
154,139,107,0.73037542662116
154,148,113,0.748344370860927
154,120,90,0.656934306569343
154,150,116,0.763157894736842
154,140,104,0.707482993197279
154,148,105,0.695364238410596
154,157,113,0.72668810289389
154,143,115,0.774410774410774
154,121,100,0.727272727272727
154,149,118,0.778877887788779
154,145,118,0.789297658862876
154,170,117,0.722222222222222
154,140,104,0.707482993197279
154,149,110,0.726072607260726
154,134,105,0.729166666666667
154,159,109,0.696485623003195
154,141,112,0.759322033898305
154,159,116,0.741214057507987
154,142,109,0.736486486486486
154,134,106,0.736111111111111
154,129,102,0.720848056537102
154,134,114,0.791666666666667
154,137,114,0.783505154639175
