"number_edges_cminet","number_edges_phy","TP","F_score"
129,128,117,0.910505836575875
129,137,121,0.909774436090226
129,130,117,0.903474903474903
129,126,115,0.901960784313726
129,124,114,0.901185770750988
129,127,115,0.8984375
129,128,115,0.894941634241245
129,126,114,0.894117647058824
129,129,115,0.891472868217054
129,123,112,0.888888888888889
129,131,115,0.884615384615385
129,131,115,0.884615384615385
129,125,112,0.881889763779527
129,126,112,0.87843137254902
129,125,111,0.874015748031496
129,132,114,0.873563218390805
129,139,117,0.873134328358209
129,137,116,0.87218045112782
129,121,109,0.872
129,135,115,0.871212121212121
129,135,115,0.871212121212121
129,126,111,0.870588235294118
129,126,111,0.870588235294118
129,131,113,0.869230769230769
129,134,114,0.866920152091255
129,128,111,0.863813229571984
129,128,111,0.863813229571984
129,133,113,0.862595419847328
129,124,109,0.861660079051383
129,120,107,0.859437751004016
129,134,113,0.859315589353612
129,132,112,0.85823754789272
129,128,110,0.856031128404669
129,126,109,0.854901960784314
129,129,110,0.852713178294574
129,141,115,0.851851851851852
129,135,112,0.848484848484848
129,117,104,0.845528455284553
129,117,104,0.845528455284553
129,129,109,0.844961240310077
129,129,109,0.844961240310077
129,133,110,0.83969465648855
129,130,108,0.833976833976834
129,128,107,0.832684824902724
129,126,106,0.831372549019608
129,122,103,0.820717131474104
129,125,104,0.818897637795276
129,130,105,0.810810810810811
129,135,107,0.810606060606061
129,127,99,0.7734375
