"number_edges_cminet","number_edges_phy","TP","F_score"
18,15,14,0.848484848484849
18,15,11,0.666666666666667
18,7,5,0.4
18,11,8,0.551724137931034
18,13,11,0.709677419354839
18,16,12,0.705882352941177
18,22,16,0.8
18,14,12,0.75
18,12,12,0.8
18,15,11,0.666666666666667
18,11,10,0.689655172413793
18,12,9,0.6
18,12,10,0.666666666666667
18,13,11,0.709677419354839
18,10,10,0.714285714285714
18,15,13,0.787878787878788
18,19,14,0.756756756756757
18,15,11,0.666666666666667
18,17,12,0.685714285714286
18,11,10,0.689655172413793
18,14,12,0.75
18,14,12,0.75
18,15,12,0.727272727272727
18,14,12,0.75
18,10,8,0.571428571428571
18,10,9,0.642857142857143
18,12,10,0.666666666666667
18,14,11,0.6875
18,7,7,0.56
18,11,10,0.689655172413793
18,14,11,0.6875
18,10,6,0.428571428571429
18,11,10,0.689655172413793
18,11,7,0.482758620689655
18,17,13,0.742857142857143
18,18,14,0.777777777777778
18,10,8,0.571428571428571
18,16,13,0.764705882352941
18,14,10,0.625
18,13,11,0.709677419354839
18,13,10,0.645161290322581
18,11,9,0.620689655172414
18,15,11,0.666666666666667
18,15,15,0.909090909090909
18,15,10,0.606060606060606
18,16,12,0.705882352941177
18,17,13,0.742857142857143
18,15,12,0.727272727272727
18,15,14,0.848484848484849
18,15,13,0.787878787878788
