"Actinobacteria","Acidobacteriae","Anaerolineae","Gemmatimonadetes","Alphaproteobacteria","Vicinamibacteria","Nitrospiria","Gammaproteobacteria","Polyangia","Bacteroidia","Bacilli","Clostridia","Acidimicrobiia","Verrucomicrobiae","Thermoleophilia","Chloroflexia","Myxococcia","TK10","KD4.96","Saccharimonadia","Bdellovibrionia","Planctomycetes","Ktedonobacteria","Blastocatellia","Oligoflexia","Holophagae","JG30.KF.CM66","OLB14","Parcubacteria","Methylomirabilia","Microgenomatia","Cyanobacteriia","MB.A2.108","Babeliae","Thermoanaerobaculia","Chlamydiae","Dehalococcoidia","Gitt.GS.136","Phycisphaerae","Vampirivibrionia","Elusimicrobia","Fibrobacteria","Kapabacteria","SHA.26","P2.11E","Sericytochromatia","Chthonomonadetes","bacteriap25","Dojkabacteria","AD3","Longimicrobia","Lineage.IIa","S0134.terrestrial.group","Subgroup.25","Subgroup.5","Fimbriimonadia","Gracilibacteria","Ignavibacteria","Lineage.IIb","OM190","Negativicutes","Subgroup.22","WWE3","BD2.11.terrestrial.group","Deinococci","Latescibacteria","Desulfuromonadia","BD7.11","Desulfitobacteriia","Subgroup.11","Kryptonia","Sumerlaeia","Pla4.lineage","Berkelbacteria","ABY1","Armatimonadia","Spirochaetia","AKAU4049","Omnitrophia","Limnochordia","Abditibacteria","Syntrophobacteria","Nanoarchaeia","Rhodothermia","Symbiobacteriia","Entotheonellia","Desulfobulbia","Thermodesulfovibrionia","Desulfobaccia","Kazania","Hydrogenedentia","Desulfobacteria","Coriobacteriia","Subgroup.18","vadinHA49","Thermoplasmata","Aminicenantia","AT.s3.28","Syntrophia","response"
1421,480,2405,566,3362,1547,261,2043,727,2018,395,293,1318,672,1146,279,118,76,1030,92,59,8,13,128,25,163,57,32,192,230,42,204,580,15,56,44,172,663,66,5,9,150,0,23,39,2,0,0,42,0,10,6,45,55,28,6,18,81,5,15,4,0,11,19,0,11,13,0,36,0,92,0,0,2,3,0,44,2,0,0,0,62,13,0,0,4,98,69,13,0,4,26,25,0,0,0,26,6,13,1
1877,666,2693,787,3937,1904,336,2373,806,1787,405,260,1571,838,1203,267,193,53,1081,105,53,44,13,171,15,195,101,69,163,371,43,244,671,6,19,7,215,764,91,8,21,84,13,21,58,5,0,15,31,0,10,2,55,75,0,6,21,98,0,58,19,19,19,24,0,22,7,0,44,10,125,3,13,2,0,0,33,0,0,0,0,68,6,9,0,8,80,84,28,6,0,29,35,7,0,0,15,8,28,1
1567,554,1962,503,3021,1357,274,1691,702,1693,421,192,1274,689,1196,365,198,29,969,53,52,11,30,221,19,137,76,39,153,190,15,446,461,20,44,0,160,574,34,7,2,56,12,13,19,0,0,0,58,0,23,16,19,64,21,5,13,91,6,25,0,5,17,43,3,10,7,0,43,5,74,0,0,0,2,0,48,0,4,8,0,45,7,6,0,0,90,54,5,6,2,52,28,24,0,0,26,0,31,1
1741,250,1810,405,3196,1912,293,2064,837,1277,298,165,1421,550,817,379,73,68,983,195,45,79,16,145,11,163,24,66,183,226,37,16,483,2,67,7,134,594,131,7,10,15,8,21,0,0,0,15,9,0,31,3,35,32,0,5,8,124,15,70,5,12,9,57,0,21,15,0,16,4,48,0,11,4,3,0,0,13,11,11,0,9,0,16,0,0,8,16,2,5,0,12,0,0,10,0,0,0,14,1
1720,232,2057,427,3593,1952,273,2086,873,1162,265,174,1557,565,844,311,58,59,867,154,37,54,8,171,16,112,86,51,219,285,32,41,522,20,63,17,231,644,133,4,37,47,10,21,0,2,0,22,16,0,35,0,36,20,8,2,7,103,0,66,4,20,19,62,0,11,5,4,20,0,60,2,14,0,0,0,15,27,6,9,0,4,0,36,0,9,6,20,26,0,3,3,0,8,0,0,6,0,0,1
2527,298,2604,621,4119,2430,283,2084,882,1234,319,178,1648,693,945,694,47,85,1047,202,53,82,11,296,23,211,96,77,216,322,20,16,614,2,56,10,240,847,100,4,30,29,0,17,8,7,0,14,23,0,46,4,18,37,18,6,20,82,0,84,0,17,32,33,0,17,0,4,9,0,46,4,13,9,0,0,11,24,4,0,0,5,0,29,0,0,8,0,16,2,0,0,7,0,0,0,2,3,2,1
2431,443,2941,840,5233,2851,317,3120,1080,1586,414,298,2258,765,1482,715,102,117,1470,187,85,71,10,436,32,271,140,84,437,418,59,109,822,17,130,24,273,1118,223,15,23,29,0,17,22,0,0,16,42,0,30,0,73,58,2,0,10,155,0,127,7,28,26,64,4,22,11,4,31,6,81,7,21,0,6,0,20,45,19,0,0,19,18,42,0,0,10,12,25,3,6,21,20,8,12,0,8,4,7,1
2829,522,3219,901,5686,2992,408,3266,1343,1996,372,226,2379,851,1334,728,83,94,1542,283,72,73,28,406,54,247,145,79,414,401,78,77,794,25,87,5,310,1069,167,15,37,35,22,24,23,21,0,23,42,0,54,30,68,44,28,0,23,209,21,139,0,65,29,113,0,23,6,0,45,9,77,3,14,0,0,0,9,31,21,12,0,49,0,37,4,22,11,22,11,8,0,26,19,9,11,0,11,4,18,1
2352,472,2985,866,5043,2804,387,2846,1250,1626,408,235,2154,773,1284,592,112,126,1350,195,114,72,13,367,71,229,101,86,427,424,59,63,748,35,82,8,290,982,165,10,49,51,6,25,24,7,0,20,66,0,33,0,52,64,23,6,9,153,25,123,4,35,28,56,0,17,9,0,14,4,78,0,14,0,0,0,20,36,17,0,0,23,11,32,0,11,3,24,23,30,2,21,6,4,2,3,0,0,0,1
3877,540,3481,1144,6316,2770,382,3622,1532,2672,467,227,2290,1381,1423,637,182,141,1788,308,72,144,41,604,32,239,167,87,567,439,71,100,974,10,41,48,325,1255,132,16,33,43,33,52,33,11,2,20,43,0,46,14,60,108,13,15,6,127,2,124,2,49,11,29,4,14,0,0,33,5,58,11,30,0,6,0,13,8,5,2,0,23,12,14,0,5,0,27,13,10,4,11,0,2,2,0,8,2,0,1
