"number_edges_cminet","number_edges_phy","TP","F_score"
29,30,27,0.915254237288136
29,27,25,0.892857142857143
29,27,25,0.892857142857143
29,31,26,0.866666666666667
29,29,25,0.862068965517241
29,29,25,0.862068965517241
29,32,26,0.852459016393443
29,25,23,0.851851851851852
29,35,27,0.84375
29,28,24,0.842105263157895
29,28,24,0.842105263157895
29,26,23,0.836363636363636
29,24,22,0.830188679245283
29,22,21,0.823529411764706
29,27,23,0.821428571428572
29,27,23,0.821428571428572
29,31,24,0.8
29,31,24,0.8
29,29,23,0.793103448275862
29,24,21,0.792452830188679
29,27,22,0.785714285714286
29,25,21,0.777777777777778
29,25,21,0.777777777777778
29,25,21,0.777777777777778
29,23,20,0.769230769230769
29,36,25,0.769230769230769
29,31,23,0.766666666666667
29,31,23,0.766666666666667
29,31,23,0.766666666666667
29,26,21,0.763636363636364
29,21,19,0.76
29,29,22,0.758620689655172
29,27,21,0.75
29,35,24,0.75
29,27,21,0.75
29,35,24,0.75
29,25,20,0.740740740740741
29,25,20,0.740740740740741
29,28,21,0.736842105263158
29,29,21,0.724137931034483
29,18,17,0.723404255319149
29,30,21,0.711864406779661
29,19,17,0.708333333333333
29,22,18,0.705882352941177
29,28,20,0.701754385964912
29,22,16,0.627450980392157
29,22,16,0.627450980392157
29,20,15,0.612244897959184
29,24,16,0.60377358490566
29,21,14,0.56
