"First_Taxa","Second_Taxa","Weight"
"1","58",10
"2","15",10
"2","68",10
"5","44",10
"5","46",10
"5","90",10
"5","103",10
"5","116",10
"11","87",10
"12","82",10
"13","41",10
"13","89",10
"15","68",10
"23","123",10
"24","47",10
"24","86",10
"25","59",10
"27","120",10
"28","43",10
"31","77",10
"34","50",10
"34","65",10
"35","125",10
"38","48",10
"41","71",10
"44","103",10
"44","116",10
"45","71",10
"46","76",10
"46","116",10
"47","86",10
"50","82",10
"51","54",10
"54","62",10
"56","92",10
"61","72",10
"71","89",10
"76","103",10
"76","116",10
"79","124",10
"87","110",10
"90","103",10
"93","117",10
"99","123",10
"99","126",10
"103","116",10
"123","126",10
"2","105",9
"4","14",9
"4","93",9
"5","76",9
"5","104",9
"11","110",9
"12","19",9
"12","119",9
"13","71",9
"16","46",9
"16","82",9
"16","104",9
"16","119",9
"25","35",9
"27","32",9
"29","38",9
"29","48",9
"32","75",9
"32","95",9
"34","60",9
"35","58",9
"35","59",9
"41","89",9
"43","109",9
"44","46",9
"44","76",9
"44","90",9
"44","104",9
"46","90",9
"46","103",9
"48","127",9
"50","104",9
"57","122",9
"60","65",9
"62","105",9
"62","112",9
"62","120",9
"63","107",9
"64","122",9
"69","78",9
"75","105",9
"76","90",9
"82","104",9
"90","116",9
"95","112",9
"104","116",9
"104","119",9
"1","25",8
"1","35",8
"2","95",8
"4","56",8
"5","16",8
"5","119",8
"12","65",8
"15","105",8
"16","60",8
"19","50",8
"19","65",8
"23","71",8
"23","89",8
"23","126",8
"32","105",8
"32","120",8
"38","74",8
"38","114",8
"41","66",8
"43","125",8
"44","119",8
"50","60",8
"52","67",8
"56","87",8
"59","125",8
"66","77",8
"66","125",8
"68","75",8
"68","105",8
"74","114",8
"80","106",8
"82","119",8
"88","114",8
"90","104",8
"103","119",8
"1","59",7
"4","39",7
"4","77",7
"4","92",7
"4","121",7
"5","50",7
"12","16",7
"12","34",7
"12","50",7
"12","60",7
"15","62",7
"16","44",7
"16","76",7
"16","103",7
"16","116",7
"19","82",7
"23","99",7
"24","66",7
"26","61",7
"26","72",7
"27","62",7
"30","77",7
"34","82",7
"41","125",7
"43","85",7
"46","104",7
"50","90",7
"50","103",7
"56","77",7
"76","104",7
"76","119",7
"87","93",7
"90","119",7
"92","93",7
"93","121",7
"103","104",7
"116","119",7
"1","125",6
"2","62",6
"7","39",6
"12","104",6
"16","34",6
"16","50",6
"16","84",6
"16","90",6
"19","119",6
"24","109",6
"27","105",6
"28","33",6
